Date,daily_ic,decile_spread,stocks,year,rolling_ic_63
2023-01-03,0.18762263486372144,0.08573881567649402,495,2023,
2023-01-04,0.2683167709483499,0.13092610769055696,495,2023,
2023-01-05,0.2864586177828962,0.15498459578224424,495,2023,
2023-01-06,0.3739602502760398,0.20340440848190883,495,2023,
2023-01-09,0.2877278069977561,0.1610121543578963,495,2023,
2023-01-10,0.266475714438363,0.13647291635688077,495,2023,
2023-01-11,0.23277808778657674,0.13931258630137042,495,2023,
2023-01-12,0.16419477523042889,0.0563524206081355,495,2023,
2023-01-13,0.2010474669642751,0.07680401750116633,495,2023,
2023-01-17,0.2013670398644932,0.08010126446015152,495,2023,
2023-01-18,0.15887047304704352,0.055006213954725505,495,2023,
2023-01-19,0.13762510833818137,0.06589861869613542,495,2023,
2023-01-20,0.25236701611913837,0.10215730094202312,495,2023,
2023-01-23,0.15978862676655547,0.06730445233577448,495,2023,
2023-01-24,0.09575650721660908,0.03753567999868581,495,2023,
2023-01-25,0.09635775938831967,0.053544932775285534,495,2023,
2023-01-26,0.16458449586632948,0.06679119098225852,495,2023,
2023-01-27,0.14892839192499632,0.056432660979636874,495,2023,
2023-01-30,0.12549509064789202,0.05124255974786567,495,2023,
2023-01-31,0.0934863523573201,0.04474502794587398,495,2023,
2023-02-01,0.07982752957286064,0.03244987942925297,495,2023,
2023-02-02,0.11499192657936293,0.04485205851188317,495,2023,
2023-02-03,0.11592145828139037,0.05762517806245908,495,2023,
2023-02-06,0.11513588279292863,0.04370146956265524,495,2023,
2023-02-07,0.10922408095582968,0.03974826990267834,495,2023,
2023-02-08,0.08890874264388696,0.033109533518755535,495,2023,
2023-02-09,0.1394990125889956,0.039401978032427606,495,2023,
2023-02-10,0.12301281061892269,0.03309691123764968,495,2023,
2023-02-13,0.11045725638255352,0.029389840890449992,495,2023,
2023-02-14,0.15976319944910777,0.03951983616770774,495,2023,0.16866502955637083
2023-02-15,0.20687873247296,0.040131192377935686,495,2023,0.16989772965045435
2023-02-16,0.1597075957432494,0.030095914642853418,495,2023,0.1695792879658542
2023-02-17,0.22717250208761244,0.047596972273389444,495,2023,0.17132453687863472
2023-02-21,0.19904286432300014,0.05589039152723742,495,2023,0.172139781803469
2023-02-22,0.17604054123578744,0.04375775082493204,495,2023,0.1722512320729638
2023-02-23,0.18941293567779138,0.03544596227023856,495,2023,0.17272794606198683
2023-02-24,0.21677253137355007,0.05387225795966462,495,2023,0.17391834025959663
2023-02-27,0.27040458127045564,0.07946810878161652,495,2023,0.17645745186514555
2023-02-28,0.23079327294098093,0.04976364482123117,495,2023,0.17785067804657723
2023-03-01,0.21931308646079442,0.03290880785597787,495,2023,0.17888723825693267
2023-03-02,0.2196448288553552,0.03998126567667985,495,2023,0.17988132583250394
2023-03-03,0.1937660528492447,0.0347954578187596,495,2023,0.18021191457099778
2023-03-06,0.23048527590123516,0.04210120546425248,495,2023,0.18138106250891026
2023-03-07,0.1862780541473241,0.03639827788629118,495,2023,0.18149235777341965
