year,sessions,mean_daily_ic,daily_ic_std,daily_icir,positive_ic_rate,mean_decile_spread,ic_hac_p_19_lags
2023,250,0.089526044367939,0.15807433294961692,0.5663540860645204,0.66,0.03192283766262329,0.007658603146599995
2024,252,0.02585052929629312,0.1536553533612864,0.16823708859340128,0.5357142857142857,0.013862977965286679,0.3954114670311265
2025,250,0.03395289873741149,0.20591020609916894,0.1648917719069221,0.568,0.016639888167728385,0.4757627378087713
2026,119,0.03332496853200847,0.1857553409368399,0.17940247835640724,0.5882352941176471,0.033062186274382344,0.5660298555184877
