period,model,sessions,positions,mean_short_raw_return,short_raw_hac_p,mean_short_alpha,short_alpha_hac_p,absolute_decline_hit_rate,underperformance_hit_rate,mean_baseline_overlap,paired_short_raw_lift,paired_short_raw_lift_hac_p,paired_short_alpha_lift,paired_short_alpha_lift_hac_p
2023,quant_structured,250,12250,-0.004370141682598954,0.6087873823765513,0.01286739569602342,0.011682697768896277,0.47053061224489795,0.5896326530612245,1.0,0.0,1.0,0.0,1.0
2023,deterministic,250,12250,-0.007073501472549885,0.47204419996305,0.01016403590607249,0.04820877161584392,0.456734693877551,0.5835102040816327,0.3968163265306122,-0.0027033597899509304,0.33933312893482837,-0.0027033597899509304,0.33933312893482825
2023,direct_deepseek,250,12250,-0.0044294720597586835,0.6046489723208994,0.01280806531886369,0.012240054671617168,0.47044897959183674,0.589469387755102,0.9942040816326531,-5.933037715973182e-05,0.24385207429712394,-5.9330377159731746e-05,0.2438520742971252
2023,fulltext_distilled,250,12250,-0.007073501472549885,0.47204419996305,0.01016403590607249,0.04820877161584392,0.456734693877551,0.5835102040816327,0.3968163265306122,-0.0027033597899509304,0.33933312893482837,-0.0027033597899509304,0.33933312893482825
2024,quant_structured,252,12348,-0.010897109614029506,0.06711976646046795,0.007202288926004693,0.2762249819736692,0.4263848396501458,0.5647068351149984,1.0,0.0,1.0,0.0,1.0
2024,deterministic,252,12348,-0.016265692295003107,0.006929434876633815,0.0018337062450310946,0.7704626623439998,0.39909297052154197,0.5310171687722708,0.4016034985422741,-0.0053685826809736,0.001644538625586147,-0.005368582680973597,0.001644538625586147
2024,direct_deepseek,252,12348,-0.010923317146740554,0.06671123394246817,0.007176081393293645,0.27844039049328334,0.4263848396501458,0.5644638807904114,0.9956268221574345,-2.620753271104711e-05,0.41417814649061047,-2.6207532711047205e-05,0.414178146490609
2024,fulltext_distilled,252,12348,-0.016262798985983585,0.006929392684777495,0.0018365995540506178,0.7700465972110279,0.3990119857466796,0.5310171687722708,0.40152251376741177,-0.005365689371954076,0.0016783775183604396,-0.005365689371954073,0.0016783775183604333
2025,quant_structured,250,12472,1.714966011180685e-05,0.9971677647462984,0.013418061489446248,0.09904285627002751,0.5245349583066068,0.6117703656189866,1.0,0.0,1.0,0.0,1.0
2025,deterministic,250,12472,-0.005538804747514251,0.2252650060218764,0.007862107081820193,0.21338630563434557,0.4798749198203977,0.5827453495830661,0.33424,-0.005555954407626056,0.08423038354582,-0.005555954407626054,0.08423038354581992
